Rank	Title	SJR	Publisher	Categories
235	Reviews in Mineralogy and Geochemistry	5.63	Mineralogical Society of America	Geochemistry and Petrology 
236	Science Robotics	5.619	American Association for the Advancement of Science	Artificial Intelligence 
237	Nature Reviews Nephrology	5.606	Nature Publishing Group	Nephrology 
238	Annual Review of Virology	5.605	Annual Reviews Inc.	Virology 
239	Nano Today	5.586	Elsevier	Bioengineering 
240	Molecular Neurodegeneration	5.565	BioMed Central Ltd.	Cellular and Molecular Neuroscience 
241	Genome Medicine	5.564	BioMed Central Ltd.	Genetics 
242	Nature Communications	5.559	Nature Publishing Group	Biochemistry Genetics and Molecular Biology 
243	ACS Nano	5.554	American Chemical Society	Engineering 
244	Annual Review of Entomology	5.551	Annual Reviews Inc.	"Ecology	 Evolution	 Behavior and Systematics "
245	Inventiones Mathematicae	5.536	Springer New York	Mathematics 
246	Blood	5.515	American Society of Hematology	Biochemistry 
247	International Organization	5.513	Cambridge University Press	Law 
248	Journal of the Academy of Marketing Science	5.512	Springer New York	Business and International Management 
249	Nature Reviews Cardiology	5.495	Nature Publishing Group	Cardiology and Cardiovascular Medicine 
250	Hepatology	5.488	John Wiley and Sons Ltd	Hepatology 
251	"Lancet HIV	The"	5.483	Elsevier	Epidemiology 
252	American Journal of Psychiatry	5.477	American Psychiatric Association	Psychiatry and Mental Health 
253	Journal of Financial Intermediation	5.445	Academic Press Inc.	Economics and Econometrics 
254	Nature Geoscience	5.435	Nature Publishing Group	Earth and Planetary Sciences 
255	Clinical Cancer Research	5.427	American Association for Cancer Research Inc.	Cancer Research 
256	Journal of Cell Biology	5.414	Rockefeller University Press	Cell Biology 
257	Advanced Science	5.388	Wiley-VCH Verlag	"Biochemistry	 Genetics and Molecular Biology "
258	Nature Plants	5.38	Palgrave Macmillan Ltd.	Plant Science 
259	Entrepreneurship Theory and Practice	5.365	Wiley-Blackwell	Business and International Management 
260	"Lancet Haematology	The"	5.343	Lancet Publishing Group	Hematology 
261	American Economic Journal: Microeconomics	5.339	American Economic Association	"Economics	 Econometrics and Finance "
262	Biological Psychiatry	5.335	Elsevier	Biological Psychiatry 
263	Annual Review of Earth and Planetary Sciences	5.331	Annual Reviews Inc.	Astronomy and Astrophysics 
264	Plant Cell	5.324	American Society of Plant Biologists	Cell Biology 
265	JAMA Neurology	5.298	American Medical Association	Neurology 
266	Microbiome	5.297	BioMed Central Ltd.	Microbiology 
267	Developmental Cell	5.284	Cell Press	"Biochemistry	 Genetics and Molecular Biology "
268	MIS Quarterly: Management Information Systems	5.283	Management Information Systems Research Center	Computer Science Applications 
269	Perspectives on Psychological Science	5.234	SAGE Publications Ltd	Psychology 
270	Annual Review of Political Science	5.231	Annual Reviews Inc.	Sociology and Political Science 
271	Energy Storage Materials	5.225	Elsevier	Energy Engineering and Power Technology 
272	Wiley interdisciplinary reviews. RNA	5.225	John Wiley and Sons Inc.	Biochemistry 
273	Advances in Physics	5.207	Taylor and Francis Ltd.	Condensed Matter Physics 
274	Coordination Chemistry Reviews	5.166	Elsevier	Inorganic Chemistry 
